date,NVDA,AAPL,MSFT,MU,AMZN,AMD,GOOGL,AVGO,GOOG,META,TSLA,WMT,INTC,CSCO,COST,QQQ
2021-02-23,,0.3423428967959004,0.2555792151634279,0.4772117138740203,,,,,,,,,0.3309008156914957,0.2188592441936955,0.2581205858255548,0.2648402362993018
2021-02-24,,0.3360018664163978,0.2672181321745793,0.4831858469846285,,,,,,,,,0.3333844554126252,0.2165733320493434,0.2611462851306557,0.2894319274118308
2021-02-25,,0.3979435599639854,0.3227046724019836,0.5519268492444994,,,,,,,,,0.3897506909640146,0.2489268618920995,0.2843583241597682,0.318555337042747
2021-02-26,,0.3857808575931771,0.285254117293298,0.5223015599264854,,,,,,,,,0.3460724820542653,0.2317531428874194,0.2815986685945779,0.3051444377740579
2021-03-01,,0.3286043938115405,0.2372289691461574,0.4889964562313785,,0.4249664409080319,,,,,,,0.3228745034254532,0.2149362879319853,0.2504091154519686,0.2869520007714985
2021-03-02,,0.3438929532823679,0.2600336229914733,0.4640092510449863,,0.5050344360856667,,,,,,,0.3235995184345004,0.2277294334057695,0.2708067731808689,0.2867871060381831
2021-03-03,,0.3729890643535743,0.2980163994231966,0.4817532647643481,,0.4515412030458186,,,,,,,0.3528587581375949,0.2399046193738093,0.2766364235489749,0.222614857654399
2021-03-04,,0.4017758038944015,0.2767662988189327,0.5221103997194719,,0.4746872463608849,,,,,,,0.3491249685565453,,0.2896971153332449,0.2269049569032931
2021-03-05,,0.3581626561135494,0.2566591674691441,0.5059857221076949,,0.4349434016434333,,,,,,,0.3317120179181253,0.235869050879205,0.2721789702954512,0.2110988846720519
2021-03-08,,0.4270300439160288,0.2789040881417771,0.5810329731407191,,0.569127893620272,,,,,,,0.3512492730367061,0.2652497931717716,0.2971168767278575,0.2380701601698143
2021-03-09,,0.360026005869736,0.2426331142843898,0.4986409199671985,,0.4795308921848953,,,,,,,0.3484179490749445,0.2476247920972438,0.2730016701389752,0.2163805047516886
2021-03-10,,0.3645169360748934,0.2503679514090394,0.5147120176819583,,0.4746602296421646,,,,,,,0.3326183780049331,0.2349569772379682,0.2259364005647675,0.2220138000571019
2021-03-11,,0.3277586954517037,0.2425257200934292,0.4724722454389427,,0.4376976264923046,,,,,,,0.3289611728283374,0.221015984544221,0.2564161260719997,0.2127377579722291
2021-03-12,,0.3109099537036882,0.2477520536376146,0.4689201883827113,,0.4377681294295912,,,,,,,0.3246166587321218,0.220793097878651,0.2493453911254246,0.2160115425138752
2021-03-15,,,0.2470627000489491,,,,,,,,,,0.3292013328103572,,0.2607945880123177,0.2088001712695728
2021-03-16,,,0.2346912016134293,,,,,,,,,,0.3256225968841318,,0.2708374011342138,0.2120100987813145
2021-03-17,,,0.2326978172836654,,,,,,,,,,0.339370257447066,,0.2666048240065578,0.2033674787815249
2021-03-18,,,0.2748681938937281,,,,,,,,,,0.3496549581792476,,0.2917569786980274,0.2318672530199877
2021-03-19,,,0.2596447163622584,,,,,,,,,,0.3415082076780844,,0.2621745041761312,0.222834036098332
2021-03-22,,,0.2244575963488232,0.4726855478290619,,0.3660205492423936,,,,,,,0.3209904083587758,0.1813638837426689,0.2443519616997613,0.2030292819331985
2021-03-23,,,0.2233262987187163,0.487845857396801,,0.3659366867060605,,,,,,,0.3425279193599121,0.1781456501478565,0.2220763973638007,0.214519353437496
2021-03-24,,,0.2382347657854774,0.498585462949342,,0.3742344960374496,,,,,,,0.3018602811570366,,0.2350908530561124,0.2285921448734604
2021-03-25,,,0.2612705743750105,0.4906459144955792,,0.3777366949734179,,,,,,,0.2976898324555195,0.1864347803662403,0.2119011613515695,0.2303744112134049
2021-03-26,,,0.2204885981487884,0.4915882103033189,,0.3616065876047749,,,,,,,0.2959038699713592,0.1692035686780346,0.1972255240035322,0.2053773200161532
2021-03-29,,,0.2510906498997717,0.514813141785448,,0.3688359532798198,,,,,,,0.2935884574948278,0.1698785504346144,,0.2116170770970964
2021-03-30,,,0.2770445684040367,0.5145538671890896,,0.3793376743815487,,,,,,,0.2801323720366022,0.1731774180500624,0.2098880760431285,0.2138557068706359
2021-03-31,,,0.267231493271298,0.4834313982675267,,0.3407725663478564,,,,,,,0.2855776618268388,0.1627704027897022,0.1963608055313335,0.1949883988069267
2021-04-01,,,0.2137688443143492,0.3704742745902231,,0.3214657774650169,,,,,,,0.267291171076649,0.1545539230979385,0.1810476494297836,0.1747884342196685
2021-04-05,,,0.2431977206273003,0.3895089342929765,,0.349445735597632,,,,,,,0.2786402780678817,0.1843912969774949,0.1891546203670358,0.1893954440692967
2021-04-06,,0.2730632291501523,0.2165698951037024,0.3740266219980561,,0.3385089905175711,,,,,,,0.2792635548952518,0.2271884650627716,0.1747158595868553,0.1988811250970045
2021-04-07,,0.2659938546585225,0.2219367304140609,0.3487962945315431,,0.3406224430071691,,,,,,,0.2663466799834199,0.2219615280929698,0.1782954802012461,0.1982736490209367
2021-04-08,,0.2656597771036129,0.2139885628839677,0.2833774220844698,,0.3287063438395423,,,,,,,0.2554900981297515,0.2225574146666327,0.1714901179547898,0.2081565081243566
2021-04-09,,0.2579419854638402,0.214129865439843,0.3033460607254667,,0.2931780821911821,,,,,,,0.2547357630515273,0.217999597288011,0.1610146318628768,0.1902004440468038
2021-04-12,,0.2756895063283686,0.2172338322361848,,,,,,,,,,,0.2283637100881326,0.1571995960798028,0.2064717801389982
2021-04-13,,0.2749711487017953,0.215709300340086,,,,,,,,,,,0.2279039468216986,0.1555379632763,0.2044206400634916
2021-04-14,,0.2966848509543398,0.2283964344290684,,,,,,,,,,,0.2300940645578656,0.1552616495302238,0.212431496470996
2021-04-15,,0.2749040616933912,0.2107531929483392,,,,,,,,,,,0.2301682082218232,0.1515228398327289,0.1913047219745488
2021-04-16,,0.266438204666892,0.2045041251386662,,,,,,,,,,,0.2276343694317863,0.1445725480572919,0.1803248456438878
2021-04-19,,0.2831931652625716,0.2333899978446196,0.3702559746205672,,0.4221005520642021,,,,,,,0.2122191990737774,0.2505948787156015,0.1535327913427396,0.2073634882871612
2021-04-20,,0.2927686105908704,0.2412226851774994,0.376351576798458,,0.4372781401087149,,,,,,,0.3148919920911018,0.2564781389775657,0.1602152534348072,0.1964836604043061
2021-04-21,,0.280729882907216,0.2231966629006129,0.3738751962292258,,0.418442203000175,,,,,,,,0.2458886446485381,0.1529884370603213,0.2010533053414601
2021-04-22,,0.2948200740435041,0.2415165958430943,0.3727330776449998,,0.4452120981483251,,,,,,,0.3010317598357211,0.2520284278064401,0.1551141352284008,0.2234931064551585
2021-04-23,,0.2617870159580087,0.2086944200625988,0.3467900106064209,,0.4249372865655944,,,,,,,0.2038144856162499,0.2440518744834841,0.1481827436724134,0.2003617380963995
2021-04-26,,0.272904093777383,0.2337089112679802,0.3478409679219817,,0.2995448313822259,,,,,,,0.1951710254133365,0.2507428352001332,0.1552021353446011,0.2012330922185695
2021-04-27,,0.2465035962851496,0.188728998375327,0.3848017197448057,,0.4185316805700651,,,,,,,0.2132058875393277,0.2578347623230441,0.1522466429150719,0.2055399604348557
2021-04-28,,0.2519659541421118,0.1980927467754646,0.3693352886474896,,0.3658840800844073,,,,,,,0.2000046499645862,0.2628880151114951,0.1510121329189777,0.2262573846390305
2021-04-29,,0.1878145337235468,0.177184891348275,,,0.3534371013961154,,,,,,,0.1893798473252752,0.2638856718139786,0.1527438700364775,0.1948655405820431
2021-04-30,,0.1998540815590006,0.176082197506631,0.3679370363493955,,0.327451384955998,,,,,,,0.1985024490784168,0.27646091312595,0.1567919338782833,0.210451354897456
2021-05-03,,0.1838982316487309,0.1792719882376076,0.3588375492763412,,0.3551781232486439,,,,,,,0.1876505587361427,0.284091572123254,0.1463961729201425,0.2063580378562245
2021-05-04,,0.2573870251669439,0.2028387654799522,0.3863716433302612,,0.3682855046138921,,,,,,,0.2171599567999945,0.2983694984795108,0.161701053678254,0.2119630507827369
2021-05-05,,0.2453279694055124,0.1924997103566665,0.3880064239929508,,0.3491930138011683,,,,,,,0.1968461218326756,0.3122617726495235,0.1556566233455589,0.2193488775846331
2021-05-06,,0.2274324549657043,0.1888839141578028,0.3859538636427506,,0.3452149893618567,,,,,,,0.2440950508462269,0.3294420412854307,0.1829271998171106,0.1743364127090109
2021-05-07,,0.2217560125973755,0.1773361274659352,0.3504316339271234,,0.312064143331318,,,,,,,0.2306410852803293,0.3173902083713402,0.1727252717200026,0.1666213560778309
2021-05-10,,0.2399211795369358,0.1979806974767211,0.4080748506884849,,0.3605984750970094,,,,,,,0.2598842652071768,0.3743395769245016,0.1884101347071105,0.1826743594996809
2021-05-11,,0.2494755765351219,0.2067339250035753,0.4196611326846348,,0.3748417802837153,,,,,,,0.2796360277440627,0.395306470220131,0.19973242660308,0.1848508035601528
2021-05-12,,0.2901281042515166,0.244653618528445,0.4824202028162078,,0.4307252093377665,,,,,,,0.3274879485687059,0.4488832782775335,0.2199694475434582,0.2125866488978391
2021-05-13,,0.2603292004557991,0.2148928317172921,0.4201515955128423,,0.3945402861804777,,,,,,,0.2817740844951595,0.4273202520791447,0.2108201463422409,0.1904418294665537
2021-05-14,,0.2309902568189068,0.1826546775857766,0.3736984935700296,,0.3421722282648535,,,,,,,0.2466054222110647,0.4312264177873738,0.1959876278416407,0.17315078561868
2021-05-17,,0.2357376861545901,0.1972880989921586,,,,,,,,,,,,0.2029727224499735,0.1779504876387302
2021-05-18,,0.2360651622041358,0.2018238008426203,,,,,,,,,,,,0.20073824072785,0.1840126189324826
2021-05-19,,0.2470277561799296,0.2108911883223279,,,,,,,,,,,,0.2135572448313986,0.1814113128312564
2021-05-20,,0.2220302036470269,0.1945693340624261,,,,,,,,,,,,0.2008776720109625,0.173431624575748
2021-05-21,,0.2249858381313288,0.1885763232261874,,,,,,,,,,,,0.1971535157479694,0.168029158452395
2021-05-24,,0.2057276741946109,0.1735596794804266,0.3659834118014567,,,,,,,,,0.2305032202964677,0.1696955315092464,0.1921167896656935,0.1607736914620204
2021-05-25,,0.2065110779616209,0.1742767600439536,0.3541829523369875,,,,,,,,,0.2307494018703518,0.1719485098601553,0.1926814569061506,0.1642245520461296
2021-05-26,,0.2014229570543186,0.1676323151743333,0.3238773425006578,,,,,,,,,0.2206606663178498,0.1714422899454682,0.1814206296793653,0.154766341839626
2021-05-27,,0.2108991162986962,0.1679287915200654,0.3089092536255435,,,,,,,,,0.2354438107302801,0.1615393422698889,0.1651761833501635,0.1570978480895529
2021-05-28,,0.2038593623608192,0.1676878278675567,0.3152159075133569,,,,,,,,,0.2102533316532879,0.1604390109029482,0.1480895067582027,0.1469385941417885
2021-06-01,,0.22728320848251,0.1857307702489813,0.3347488359173726,,0.3265825960951281,,,,,,,0.2304444222570693,0.1726639298398109,0.1524923283401009,0.156293474022385
2021-06-02,,0.2157895154264174,0.1963563317596373,0.3711074094810737,,0.3227844237135236,,,,,,,0.2316450775528525,0.1637431898481663,0.1465371806925777,0.1456809267019071
2021-06-03,,0.230226345007178,0.2035827626168292,0.3811234062797037,,0.3227102943118761,,,,,,,0.2324296160122625,0.1796851408234503,0.1593880157044774,0.1526489817230762
2021-06-04,,0.2155598512409414,0.1916228562949881,0.3729689367531802,,0.3047263282727261,,,,,,,0.2248065892320524,0.1445388557722146,0.1517047226319249,0.1403370824426718
2021-06-07,,0.2310324398079859,0.1904698904197563,0.3813520320977567,,0.3093428669714451,,,,,,,0.2284534069372528,0.1599762667750673,0.1691394341299839,0.1425816416756941
2021-06-08,,0.222273850538039,0.1901949563205582,0.3787928991488743,,0.3058957070851775,,,,,,,0.2265448374796003,,0.1742038413852009,0.1449619782291714
2021-06-09,,0.2106794417128992,0.1876376255440911,0.3729782030293069,,0.317785168865499,,,,,,,0.2303575019782614,,0.1704037354380511,0.1473921928825357
2021-06-10,,0.2074277295644592,0.1745537436698048,0.3567818248830613,,0.289498911626471,,,,,,,0.2158171420071112,0.206396570011565,0.1608971174725458,0.1357106774912611
2021-06-11,,0.1709756632570458,0.1674983943733491,0.3450109165312838,,0.2788839323468496,,,,,,,0.2060485861878894,,0.1627341591394024,0.1264145937035738
2021-06-14,,,0.1670663548147443,0.3507480796728323,,,,,,,,,0.2180365998869914,,0.161720807502645,0.1328130882495444
2021-06-15,,,,0.3551176094815344,,,,,,,,,0.2205548548477024,,0.1635259192583166,0.141274210014596
2021-06-16,,,0.182462207435138,0.3750853034883727,,,,,,,,,0.2230402523395192,,,0.1411926995774461
2021-06-17,,,0.1691931338181052,0.3382562574708285,,,,,,,,,0.2229428456170233,,,0.1339826992499134
2021-06-18,,,0.1786130502490846,0.3851727338629983,,,,,,,,,0.2392699045525297,,0.1898364611956298,0.1417457924841651
2021-06-21,,,0.1671089890471795,0.3833209220685747,,0.3094393770230665,,,,,,,0.2213102878527776,0.1358102220791156,0.1674405575353522,0.1323250860629024
2021-06-22,,,0.1639081495172751,0.3734076716531996,,0.3015944393622568,,,,,,,0.2107757892376103,0.1320945861859524,0.1562847761318809,0.1274729605832447
2021-06-23,,,0.161256659335684,0.3621614623450338,,0.2963374671784818,,,,,,,0.2123176502309687,0.1288157266431683,0.1549907853786277,0.1273618869520954
2021-06-24,,0.2122841600696084,0.1559764777793539,0.3510359401705172,,0.2976930568089605,,,,,,,0.2034942685654983,0.1245451889246674,0.1522728092888336,0.1293775922650243
2021-06-25,,0.2120680314855575,0.1601886834516836,0.3495974989382475,,0.2882026774193378,,,,,,,0.1973457172188715,0.1176002801170711,0.1430908674729147,0.1215138209157846
