,AAPL,MSFT,NVDA,CRM,CSCO,IBM,AMZN,VZ,JPM,GS,AXP,V,TRV,UNH,JNJ,MRK,AMGN,BA,CAT,HON,MMM,WMT,PG,KO,MCD,NKE,DIS,HD,CVX,SHW,DIA
2021-03-09,0.4005418026128474,0.875251767949862,,0.4724827574522559,0.8207025324484685,1.846185031687047,,3.275229680129563,2.061475277849328,1.0025852304066711,1.3266706449215524,1.1107382424293888,0.8727646141347364,1.1991648202944163,1.147304882262023,,1.0038715383504937,0.5465134250070757,1.2554143758882257,1.8287018396771384,2.93668800754682,,2.2375677418852846,2.778939765532729,1.418653939852224,1.403014043178848,0.7501471498506398,1.188895207014983,2.2291070913745954,,0.5358991893642069
2021-03-10,0.4066860053164589,0.3412297586250613,,0.5219838171560227,0.8495102419349306,2.061402485652939,,3.428388931130059,2.373775244430908,1.1329435423354484,1.4223985403615589,1.2431226805026645,0.9142440263174686,1.2189224896952744,1.1852352139770077,,1.0315917264439634,0.5272626117789184,1.4667849295285944,2.147253843360717,3.086415864574205,,2.473057746351948,3.007572163679111,1.6841383649557764,1.5698080832898502,0.7707542388849593,1.3723355024465758,2.4449545631040768,,0.5977584124020378
2021-03-11,0.395207221090476,0.3481166058791235,,0.5843541040286029,0.9012020464825762,2.043001967921192,,3.306912293030148,2.452340978352085,1.1472177143225226,1.4444210228002252,1.4386341748800562,0.9213956183755848,1.366054690516354,1.193470199206013,,1.0478890725234942,0.4603199356790975,1.4887418825654786,2.3111666803649964,3.119013979838534,,2.650198869035496,,1.6780787018798926,1.873591185516772,0.8159763285494663,1.5607630199728857,2.408135926527601,,0.6013674208765253
2021-03-12,0.3967825974949306,0.3485405609558952,,0.4928957795112373,0.9128966365398364,2.0648667450225013,,3.404456464178044,2.728681824026156,1.2342370980741164,1.6949916615447929,1.4244110944512134,0.974209729768987,1.5213903292649225,1.2243386713181492,3.650096891385925,1.0508291482163608,0.4870922518703207,1.95151656689798,2.4878670690083378,3.178331382464932,,2.8925629708290663,3.0617365638564413,1.754181916091768,1.9326068252497584,0.8786345497745566,1.823273957111298,2.4527039705281632,,0.6394023007744852
2021-03-15,0.4127204150672677,0.3429101783674968,,,0.99686702867344,2.2029683795876025,,3.505393296269961,,1.2491866594933745,,,1.0211116363820625,,1.3081108725499448,1.8045024296187584,1.185259572601447,,,,3.476040628875311,,,,,,,,2.4981603268249226,,0.6726933454537044
2021-03-16,0.3964983885456,0.3401141106208341,,,1.033150090069024,2.259333693348356,,3.568037098746524,,1.2219157724842309,,,1.0072423725451487,,1.3298178355743715,1.802941250473848,1.3308392932160096,,,,3.4649508581764783,,,,,,,,2.4617307346877384,,0.6751568287108901
2021-03-17,0.4032694173734362,0.3344406192605066,,,1.02955021741037,2.297973470409098,,3.638780380920634,,1.2668697373201152,,,1.0520553708051423,,1.3488880480206955,1.8433693258951545,1.4145832113092671,,,,3.5577341020928506,,,,,,,,2.488266666695546,,0.7024047332565161
2021-03-18,0.4258666473635647,0.360648765045603,,,0.9852241597759944,2.4131181479336163,,3.834568520918269,,1.3389418369489758,,,1.036824711743036,,1.3690165670797123,1.7904710426862198,1.4752916315309637,,,,3.7300305480182474,,,,,,,,2.319111822302532,,0.7120206888623266
2021-03-19,0.3930089473351839,0.3354617576827388,,,1.0105158054884036,2.3827678896018334,,3.8206547936649145,,1.3074939383179969,,,0.8775275069665405,,1.3546124380064302,2.0457249421380466,1.5303028857909973,,,,3.7433100444331178,,,,,,,,2.31694231630748,,0.6726412019600473
2021-03-22,0.3596998184851225,0.3150624812591782,,0.306023144318581,1.2244231151814844,2.5828551593300046,,4.0306498188229325,,1.297600251819338,0.5029185504035774,,0.8212670068689667,0.669495614921918,1.468432734311056,2.142884649243723,1.6660383227578817,0.3953752661283798,0.836653825299621,0.7843246460328425,3.960102780960716,,,1.2816658310214333,1.0265816963444625,,0.5208148508897408,0.6692317468722041,2.4588138937067856,,0.7189765825818369
